Key,Description,Standard,EN
SAY.Chapter1.1068.Anonymous Student,,大一的学生吗？难怪你们不怎么熟悉Rebecca。,Freshman? No wonder you are not very familiar with Rebecca.
SAY.Chapter1.1069.Anonymous Student,,我要求匿名接受采访可以吗？,Can I request an interview anonymously?
SAY.Chapter1.1067.Protagonist,,当然可以，我们的保密工作做得十分到位，绝不会对您得隐私走漏任何风声。,"Of course, we have done a good job of confidentiality, and we will never sell your privacy to anyone anywhere."
SAY.Chapter1.1070.Anonymous Student,,总的来说Rebecca算是我们那个时代的大红人啦。,"Generally speaking, Rebecca is a school diva of our time."
SAY.Chapter1.1071.Protagonist,,能说具体点吗？,Can you be more specific?
SAY.Chapter1.1072.Anonymous Student,,无论是在老师还是在学生间，她都是无可替代的焦点，算得上是学校中炙手可热的人物。,"Whether it is between teachers or students, she is an irreplaceable focus, an absolute center of the community."
SAY.Chapter1.1073.Anonymous Student,,她代表学校参加全国比赛时，教学楼里都是她的宣传海报，弄得跟竞选总统差不多。,"When she represented the school in the national competition, the school building was filled with her propaganda posters, making it almost like the president election."
SAY.Chapter1.1075.Protagonist,,听起来阵仗很大。,It sounds like a grand event.
SAY.Chapter1.1076.Anonymous Student,,是啊，算是风光无限，甚至有点招摇过市了。,"Yes, the scenery is fancy, and even too fancy, like she is the princess."
SAY.Chapter1.1074.Protagonist,,难怪过了这么久大家都仍然怀念她。,No wonder everyone still misses her after so long.
SAY.Chapter1.1077.Anonymous Student,,怀念？。我想除了那几位Rebecca的狂热信徒以外，其他人不过是可惜少了一个喜欢多管闲事帮自己解决麻烦的学姐而已。,"Miss? I think that apart from the few Rebecca fanatics, everyone else is just a pity that they are missing a schoolgirl who is addicted of helping them solve their troubles."
MENU.Chapter1.1078,,看来她并不是别人口中那样十全十美的人。,It seems that she is not the perfect person as others say.
MENU.Chapter1.1079,,没必要说的这么刻薄吧，大家应该是真的伤心。,"There is no need to be so mean, everyone should be really sad."
SAY.Chapter1.1084.Anonymous Student,,你们这些大一新生，还是不知道社会险恶。如果一个人不能为己所用，那么她必然也不会受到众人追捧。,"You freshmen still don't know that society is sinister. If a person has no special value, then she will certainly not be sought after by everyone."
SAY.Chapter1.1085.Protagonist,,{i}（是啊，如果Rebecca只是一个普通学生，她有能力帮助到这么多后辈吗？){/i},"{i}(True, if Rebecca is just an ordinary student, is she capable of helping so many students?){/i}"
SAY.Chapter1.1086.Protagonist,,{i}（我有相关的信息能展开探讨吗？）{/i},{i}(Is there any relevant information that I can talk about?){/i}
SAY.Chapter1.1111.Protagonist,,是关于Rebecca这个的信息吗？,Is this information about Rebecca?
SAY.Chapter1.1110.Anonymous Student,,我对此没有兴趣，我也不想多说已死之人的闲话。,"I am not interested in this, nor do I want to gossip about the dead."
SAY.Chapter1.1112.Anonymous Student,,只要大家表现出来对她是怀念的，就让这成为唯一的事实。,"As long as everyone shows that they miss her, let this be the only fact."
SAY.Chapter1.1113.Anonymous Student,,我没有什么可以说的了，你去找找其他人吧。,"I have nothing to say, please find someone else."
SAY.Chapter1.1115.Protagonist,,我听说Rebecca的父亲曾经是商学院院长，对吗？,"I heard that Rebecca's father used to be the dean of the business school, right?"
SAY.Chapter1.1116.Anonymous Student,,没错。要我说，她可是靠着自己有一个院长做父亲而得到了不少好处。,"That's right. If you want me to say, she got a lot of benefits by having a dean as a father."
SAY.Chapter1.1117.Protagonist,,可是，即使她父亲曾经是院长，也不能说明她有什么特殊权利。,"But even if her father used to be the dean, it cannot prove that she has special rights."
SAY.Chapter1.1118.Anonymous Student,,如果她没有，为什么学生遇到解决不了的事都去找她帮忙？,"If she doesn't, why do students go to her for help instead of someone else?"
SAY.Chapter1.1139.,,New Info:\nRebecca used her father's power to help students.,New Info:\nRebecca used her father's power to help students.
SAY.Chapter1.1119.Anonymous Student,,当然信不信就在你了。也许是我以小人之心度君子之腹。,"Of course, believe it or not, it's up to you. Maybe it's just I am jealous of her brilliant experience."
SAY.Chapter1.1160.Protagonist,,这位同学，请等一下！我想问一下这里发生了什么事情？,Please wait a moment! I want to ask what happened here?
SAY.Chapter1.1161.Anonymous Student,,我很忙，您想问些什么？,"I am very busy, what would you like to ask?"
SAY.Chapter1.1162.Protagonist,,我在做关于这场活动的报道，需要了解下学生看法。请问了解Rebecca吗？,"I'm doing a report on this event, and I need to know the students' views. Do you know Rebecca?"
SAY.Chapter1.1163.Anonymous Student,,算是略知一二，不过我们不是很熟。,"I know a little bit, but we are not very familiar."
SAY.Chapter1.1164.Protagonist,,我能问下您对Rebecca遭遇这次事故的想法吗？,Can I ask what you think about Rebecca's accident?
SAY.Chapter1.1165.Anonymous Student,,我……没有什么特殊的想法，只是一次不幸的意外，我们都深表遗憾。,"I... don't have any special thoughts, just an unfortunate accident. We all deeply regret it."
SAY.Chapter1.1166.Protagonist,,那您清楚事件的前因后果吗？,Do you know the cause of the incident?
SAY.Chapter1.1167.Anonymous Student,,对不起，据我所知Rebecca的事件只是一次意外，除此之外我并不知道什么。,"Sorry, as far as I know, Rebecca's incident was just an accident, and I don't know anything else."
SAY.Chapter1.1168.Protagonist,,{i}（是不是要出示一些东西？问得再具体一点？）{/i},{i}(Should I show something? Ask more specific?){/i}
SAY.Chapter1.1182.Protagonist,,您对Rebecca的这些信息了解吗？,Do you know this information about Rebecca?
SAY.Chapter1.1183.Anonymous Student,,我跟她只是普通前后辈关系，不是很熟。,"My relationship with her is just same school students, not very familiar."
SAY.Chapter1.1185.Anonymous Student,,如果您对她的事迹比较感兴趣的话，建议还是去问这个活动的主办方，他们应该可以提供更详细的信息。,"If you are more interested in her, I recommend asking the organizer of this event, they should be able to provide more detailed information."
SAY.Chapter1.1184.Anonymous Student,,抱歉没能帮到您什么，去问一下其他人吧。,Sorry for not being able to help you. Please ask someone else.
SAY.Chapter1.1187.Protagonist,,您知道校方对这件事的态度吗？,Do you know the school's attitude towards this matter?
SAY.Chapter1.1188.Anonymous Student,,能不能不要为难我，学校都已经说了是意外了，那就是意外。,"Can you let me go? The school has already said that it is an accident, and that is an accident."
SAY.Chapter1.1189.Anonymous Student,,我们也只知道这些消息。要说我说了些什么捕风捉影的话被传出去了，对学校的影响也不好。,"We only know these. If I said some gossip that was spreading out to everywhere, the impact on the school was not good."
SAY.Chapter1.1190.Protagonist,,我不是那个意思，只是有其他学生透露出......,"I didn’t mean that, but other students revealed..."
MENU.Chapter1.1193,,校方有故意想把事件掩盖成意外的意图。,The school wants to cover up the incident as an accident.
MENU.Chapter1.1194,,似乎Rebecca的死不是纯粹的意外。,Rebecca's death was not a pure accident.
SAY.Chapter1.1197.Anonymous Student,,其他人怎么说我管不着，但我不能说出没根据的话。,"I can't control what other people say, but I can't say unfounded words."
SAY.Chapter1.1198.Anonymous Student,,这种三人成虎众口铄金的言论，谁知道是不是什么别有用心的人编造来抹黑我们学校？,Who knows if someone with ulterior motives fabricated it to discredit our school?
SAY.Chapter1.1209.,,New Info:\nSome students insist that the case is an accident.,New Info:\nSome students insist that the case is an accident.
SAY.Chapter1.1199.Anonymous Student,,我还有事就不多说了，请不要再传播这些小道消息。,"I won’t say more about it, please stop spreading these gossips."
SAY.Chapter1.1232.Sophie,,我们已经做好了最坏的打算。比起什么都不做带着遗憾毕业，至少现在我们的良心不会受到谴责。,"We have prepared for the worst. Compared to graduation with the regret of doing nothing, at least now our conscience will not be condemned."
SAY.Chapter1.1236.Sophie,,总之，谢谢您对这件事情如此关心，说明我们的宣传是有成效的。,"In short, thank you for your interest in this matter, which shows that our publicity is effective."
SAY.Chapter1.1265.Protagonist,,您好，您曾经是Rebecca的老师吗？,"Hello, have you ever been Rebecca's teacher?"
SAY.Chapter1.1266.Robert,,老师吗？这么说也没有问题。,Teacher? This title should make sense.
SAY.Chapter1.1267.Protagonist,,{i}（为什么要用疑问句？难道还有其他的可能性){/i},{i}(Why question first? Are there other possibilities){/i}
MENU.Chapter1.1271,,难道您与她有师生以外的关系？,Are you someone else instead of teacher?
MENU.Chapter1.1272,,您是代表学校来纪念Rebecca的吗？,Are you mourning Rebecca on behalf of the school?
SAY.Chapter1.1295.Protagonist,,Robert教授，有些事情我还想请教。,"Professor Robert, there are some things I would like to ask."
SAY.Chapter1.1296.Robert,,请说，只要是你问的内容有价值我都会回答的。,"Please say, as long as the content you ask is valuable, I will answer it."
SAY.Chapter1.1297.Protagonist,,{i}（我有有价值的议题能展开探讨吗？）{/i},{i}(Can I discuss something worthwhile?){/i}
SAY.Chapter1.1274.Robert,,我想我站在这里，更多是作为父亲的立场。,"I think I stand here, more as a father."
SAY.Chapter1.1275.Protagonist,,您就是Rochester教授吗？久仰大名。,Are you Professor Rochester? One of the most famous professor of YIT?
SAY.Chapter1.1278.Robert,,看来你的调查相当的顺利，短短时间已经掌握了不少资料。,"It seems that your investigation went well, and you have mastered a lot of information in a short period of time."
SAY.Chapter1.1279.Protagonist,,{i}！（糟糕，被识破了吗？){/i},"{i}! (Oops, did he already know my purpose?){/i}"
MENU.Chapter1.1282,,您在说什么，我听不懂？调查什么？,What to investigate? I don't understand? 
MENU.Chapter1.1283,,我只是路过来祭拜的学生而已。,I'm just a student who came by to mourn.
SAY.Chapter1.1286.Robert,,我当了三十多年的老师，什么样的人是学生还是辨别的出来。,I have been a teacher for more than 30 years. I can still tell who is a student.
SAY.Chapter1.1288.Robert,,至少现在，在Rebecca的面前，请不要对我说谎。,"At least for now, in front of Rebecca, please don't lie to me."
SAY.Chapter1.1287.Protagonist,,我不是什么可疑人士，请不要把我赶走。,"I am not a suspicious person, please don't drive me away."
SAY.Chapter1.1289.Robert,,放心吧，你以为这两年来找我调查的人就少吗？没想到我最后一次出名居然是因为女儿的死亡。,"Don't worry, do you think that how much people have come to me for investigation in the past two years? Unexpectedly, the last time I became famous was because of the death of my daughter."
SAY.Chapter1.1290.Robert,,我不会立刻赶你走，只要你接下来实话实说。我教过的学生成千上百，诚信是我们做学术的基本。,"I won't drive you away right away, as long as you tell the truth next. I have taught hundreds of students and honesty is the basis of academic attitude."
SAY.Chapter1.1291.Protagonist,,实话实说？您想要知道些什么？,Be honest? What do you want to know?
SAY.Chapter1.1292.Robert,,关于Rebecca，她的死因。,"About Rebecca, the cause of her death."
SAY.Chapter1.1293.Robert,,如果你真的做了全面的调查，现在心中应该已经有一个初步的答案了，我想听听你的看法。,"If you really did a comprehensive investigation, you should have a preliminary answer in your mind now. I want to hear your opinion."
MENU.Chapter1.1313,,我想这是一场不幸的意外。,This was an unfortunate accident.
MENU.Chapter1.1314,,我想您的女儿可能遭受了某种人格控制。,Your daughter may have suffered personality control.
SAY.Chapter1.1368.Protagonist,,您知道关于Rebecca得这个信息吗？,Do you know this information about Rebecca?
SAY.Chapter1.1369.Robert,,我不认为这个信息有任何研究价值。,I don't think this information has any research value.
SAY.Chapter1.1370.Robert,,或许你需要再仔细审阅一下自己的研究成果。,Maybe you need to carefully review your own research results.
SAY.Chapter1.1372.Protagonist,,Rebecca真的是一位十分优秀的女性，您的教育非常成功。,"Rebecca is really a brilliant girl, and your education is very successful."
SAY.Chapter1.1373.Robert,,谢谢你的夸赞，可是比起死后得虚名，我更希望此刻她活着，哪怕普普通通。,"Thank you for your compliment, but rather than getting a reputation after death, I hope she is alive at this moment, even ordinary."
SAY.Chapter1.1374.Robert,,更何况有时候优秀并不是优势，反而是对精神的一种桎梏。,"What's more, sometimes being excellent is not an advantage, but a weakness."
SAY.Chapter1.1375.Protagonist,,这是什么意思？优秀反而会成为缺点吗？,What does it mean? Will excellence be a disadvantage instead?
SAY.Chapter1.1376.Robert,,或许这么说是有一些荒谬，但是我想Rebecca也一定觉得非常累吧，当这样一个优秀的人。,"Maybe it is absurd to say that, but I think Rebecca must feel very tired too, being such an excellent person."
SAY.Chapter1.1377.Protagonist,,{i}（说的好深奥，不愧是名教师。虽然我不太听得懂这个理论。）{/i},{i}(It’s so esoteric. Although I don’t quite understand this theory.){/i}
SAY.Chapter1.1381.Protagonist,,您真的不觉得您女儿的死没有什么蹊跷？,Do you really think there is nothing strange about your daughter's death?
SAY.Chapter1.1382.Robert,,我认为存在蹊跷，只是现阶段大家流传的版本都不是真相。,"I think there is something wrong, but the version circulated by everyone at this stage is not the truth."
SAY.Chapter1.1383.Robert,,至少没有绝对证据证明他们是可信的。,At least there is no absolute evidence that they are credible.
SAY.Chapter1.1384.Robert,,我不允许自己的女儿死的糊里糊涂。,I don't allow my daughter to die in confusion.
SAY.Chapter1.1387.Protagonist,,听说Rebecca是借您的权力来帮助其他学生，这样真的好吗？,I heard that Rebecca borrowed your power to help other students. Is this really appropriate?
SAY.Chapter1.1388.Robert,,你有听到这样的传言吗？这么说并不准确。,Have you heard such rumors? This is not accurate.
SAY.Chapter1.1389.Robert,,Rebecca从来没有主动来求过我，都是我举手之劳而已。,"Rebecca never took the initiative to beg me, it was all my pleasure."
SAY.Chapter1.1390.Protagonist,,为什么？我相信以她的能力应该可以自己解决。,"Why? I believe that with her ability, she should be able to solve it by herself."
SAY.Chapter1.1391.Robert,,或许可以吧。但需要她费时费力才能完成的事我只要几分钟就能完成，何必让她浪费这个时间呢？,"Maybe it can. But I can do things that require her time and effort to complete in just a few minutes, so why let her waste this time?"
SAY.Chapter1.1392.Robert,,不过都是些细枝末节的小事，父亲帮一帮女儿，我觉得无可厚非。,But it's all trivial things. I think it's understandable that father helps daughter.
SAY.Chapter1.1395.Protagonist,,我有听闻您为了举办这场追悼会牺牲了自己的职业生涯，大家都感到很惋惜。,I have heard that you sacrificed your career to hold this memorial service. Everyone feels very sorry.
SAY.Chapter1.1396.Robert,,没有什么好惋惜的，失去Rebecca后我已经无心事业了，不如退出来把资源与机会让给别人。,"There is nothing to regret. After losing Rebecca, I am no longer interested in my career. It is better to quit and pass resources and opportunities to others."
SAY.Chapter1.1397.Robert,,Rebecca死后，我即使活着，也不过是形如枯槁，了却残生罢了。,"After Rebecca's death, even though I was alive, I would only look like a withered, but be left alive."
SAY.Chapter1.1398.Protagonist,,请不要这样说，Rebecca也一定是希望您能好好地继续活着。,"Please don't say that, Rebecca must also hope that you can continue to live well."
SAY.Chapter1.1399.Robert,,谢谢你的安慰，我会活着，至少在弄清楚她是怎么死之前我还不可以放弃。,"Thank you for your comfort, I will live, at least I can't give up until I figure out how she died."
SAY.Chapter1.1317.Protagonist,,我从一些同学的口中得知了这场活动的捐款会用来帮助反对PUA。想必这就是害死您女儿的真凶吧。,I learned from some students that the donations from this event will be used to help oppose PUA. Presumably this is the real culprit who killed your daughter.
SAY.Chapter1.1318.Robert,,看来你一定是与Sophie做了充分沟通，不过这并不是一个好的开始。,"It seems that you must have fully communicated with Sophie, but this is not a good start."
SAY.Chapter1.1320.Protagonist,,您的意思是？Sophie所告诉我的事情并不可信？,What do you mean? What Sophie told me is not credible?
SAY.Chapter1.1321.Robert,,正是如此，我知道有很多人都赞同Antony是杀人凶手这个说法。即使我知道这么想会让我好受一些，可这不符合我一贯严谨的作风。,"I know that many people agree with the statement that Antony is a murderer. Even though thinking like this will make me feel better, it does not conform to my usual rigorous style."
SAY.Chapter1.1323.Robert,,我参加了每一次庭审，每一句证词每一个证物我都记得，检察院仍然缺少关键信息证明他就是凶手。,"I participated in every trial, remembering every testimony, and every exhibit. The procurator still lacked key information to prove that he was the murderer."
SAY.Chapter1.1324.Robert,,作为一名信奉科学的教师，我无法仅凭一些捕风捉影的谣言就给一个孩子扣上杀人犯的罪名。,"As a teacher who believes in science, I cannot convict a child as a murderer based on some rumors."
SAY.Chapter1.1325.Protagonist,,可是这也无法证明他不是凶手是不是？如果他真的清白，为什么这么多年有的学生仍然不愿接受判决结果？,"But this does not prove that he is not the murderer, is it? If he is really innocent, why are some students still reluctant to accept the verdict for so many years?"
SAY.Chapter1.1319.Robert,,我能理解他们这些后辈对Rebecca的崇拜，这层滤镜让他们陷入不理智的狂热。因为他们的偶像死了，所以他们一定要抓出一只替罪羊。,"I can understand the admiration of Rebecca by them. This layer of filter makes them fall into an irrational frenzy. Because their idol is dead, they must catch a scapegoat."
SAY.Chapter1.1326.Robert,,否则他们也不知道如何发泄自己的怒火。即使是受过高等教育的大学生，一旦感性起来也与乌合之众没有什么区别。,Otherwise they don't know how to vent their anger. Even college students who have received higher education are no different from the mob once they become emotional.
SAY.Chapter1.1327.Protagonist,,这话是不是有些冷血？他们可是在为您的女儿鸣不平。,Are these words too cruel? They do their best to grieve your daughter.
SAY.Chapter1.1328.Robert,,我仍然很感谢他们的帮助，只不过他们给不了我想要的真相。,"I still appreciate their help, but they can't give the truth I want."
SAY.Chapter1.1329.Robert,,或许我们任何一个置身其中的人都没有办法找到Rebecca真正的死因。与她的羁绊使我们没有客观看待这个案件。,Perhaps none of us in it can find the real cause of Rebecca's death. The “fetters” with her prevented us from looking at this case objectively.
SAY.Chapter1.1330.Robert,,我们想的最终都是，我们希望她是如何死去。,In the end what we think about is only how we want her to die.
SAY.Chapter1.1331.Protagonist,,所以这就是您向我提问的原因吗？因为我是一个局外人。,So is that why you asked me the question? Because I am an outsider.
SAY.Chapter1.1332.Robert,,有时候局外人更是一种优势。如果我是局外人，或许Rebecca活着的时候我就能发现一些端倪。,"Sometimes outsiders are an advantage. If I were an outsider, maybe I could find some clues while Rebecca was still alive."
SAY.Chapter1.1354.Robert,,你很擅长观察与思考，如果可以的话，请代替我这个不称职的父亲找出Rebecca死亡的真相。,"You are good at observing and thinking. If you can, please find out the truth about Rebecca's death on behalf of me, a incompetent father."
SAY.Chapter1.1333.Robert,,十天后这里将会成为施工现场，同时追悼会也会结束。那一天的早晨，请再来这里告诉我你的结论。,"Ten days later this will become a construction site, and the memorial service will also end. That morning, please come here again and tell me your conclusion."
SAY.Chapter1.1335.Protagonist,,我从媒体方面知道了这是一场不幸的意外。,I learned from the media that this was an unfortunate accident.
SAY.Chapter1.1336.Robert,,这确实是最官方的报道，无论是法院还是学校都支持这个结论。,"This is indeed the most official report, and both the court and the school support this conclusion."
SAY.Chapter1.1338.Robert,,但是，这也是在审判持续半年后陪审团无奈得出的结论。,"However, this is also the conclusion reached by the jury after the trial lasted for half a year."
SAY.Chapter1.1337.Protagonist,,您是说？意外只是因为无法破案的无奈之举？这样做是不是也太草率了？,You mean? The accident was just a helpless act because the case cannot be solved yet? Isn't this too hasty?
SAY.Chapter1.1339.Robert,,持续半年参加陪审可不容易，如果不是毅力非常，普通人很难最后还有力气来对案件进行合理分析。,It is not easy to participate in the jury for half a year. It is difficult for ordinary people to have the strength to analyze the case reasonably under such tired condition.
SAY.Chapter1.1340.Robert,,我想最后他们也放弃了等待检察院所谓的“关键证据”，决定草草结案。,"I think in the end they also gave up waiting for the so-called ""key evidence"" by the procurator and decided to close the case hastily."
SAY.Chapter1.1341.Protagonist,,为什么您觉得就不可能是意外呢？我听闻令嫒去世时可是凌晨，没有看清路不小心失足不是不可能。,"Why do you think it can't be an accident? I heard that it was midnight when Rebecca died, and it was not impossible to accidentally stumble without seeing the road clearly."
SAY.Chapter1.1342.Robert,,我对Rebecca最自豪的一点就是严谨，认真的态度，是个做科研的好苗子。,What I am most proud of about Rebecca is her rigorous and serious. She is a good kid for scientific research.
SAY.Chapter1.1343.Robert,,如果不是有特别重要的事，我想不出有什么需要她半夜三更去湖边玩耍的理由。,"If it weren't for something particularly important, I couldn't think of any reason why she needed to go to the lake to play at the midnight."
SAY.Chapter1.1345.Robert,,尤其第二天她需要作为毕业生代表发表全校演讲，她应该在家认真准备演讲稿才对。,Especially the next day she needs to deliver a school-wide speech as a representative of the graduates. She should prepare the speech carefully at home.
SAY.Chapter1.1344.Protagonist,,所以您认为Rebecca的死是有人有意为之？如果真是这样凶手岂不是还逍遥法外？,"So you think that Rebecca's death was intentional? If this is the case, then the murderer is still free?"
SAY.Chapter1.1346.Robert,,实话实说，我时至今日仍无法下定论，或许作为她的父亲我反而看不清究竟发生了什么。,"To be honest, I still can’t make a conclusion today, maybe as her father I can’t see exactly what happened."
SAY.Chapter1.1347.Robert,,每当我认真思考时，脑子里只会浮现她的笑容。,"Whenever I think seriously, only her smile appears in my mind."
SAY.Chapter1.1348.Protagonist,,那有什么我可以帮到您的吗？我对Rebecca的死也深感惋惜，这样一个优秀的女孩不应该死的不明不白。,Is there anything I can do for you? I also deeply regret the death of Rebecca. Such excellent girl should not die without any reason.
SAY.Chapter1.1349.Robert,,我看的出来你不是一位仅仅为花边新闻而感到满足的人，如果可以的话，请接下我的委托。,"I can see that you are not a person who is only satisfied with gossips. If you can, please accept my commission."
SAY.Chapter1.1355.Robert,,或许你能比我们任何人都更快发现这桩持续了两年的噩梦究竟发生了什么。,"Perhaps you can discover what happened to this nightmare that lasted for two years, faster than any of us."
SAY.Chapter1.1356.Robert,,十天后这里将会成为施工现场，同时追悼会也会结束。那一天的早晨，请再来这里告诉我你的结论。,"Ten days later this will become a construction site, and the memorial service will also end. That morning, please come here again and tell me your conclusion."
SAY.Chapter1.1434.Protagonist,,调查还没有结束，我还不可以离开这里。,"The Investigation is not over yet, I should still stay here."
CHARACTER.Protagonist,,,
CHARACTER.Anonymous Student,,Anonymous Student,Anonymous Student
CHARACTER.Bus Broadcast,,Bus Broadcast,Bus Broadcast
CHARACTER.Sophie,,Sophie,Sophie
CHARACTER.Robert,,Robert,Robert
谢谢，这是您的花束！Rebecca学姐在天之灵会保佑您的。,,,
\n就只能乖乖待在校园，管理方便，所以让许多大学移址郊区。,,,
\n整场悼念会所获得的收入我们会悉数捐献给高校反PUA公益组织。,,,
\n不过，这个活动确实花费了我们不少时间去做前期准备工作。,,,
